nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,step,infectedPerStep,infectedTotal,infectedTotalPercentage,computionalTime
1,2,0.1,2,"[1484, 880]",394,1899,228,0,1136,59.820958399157455,0:00:22.684580
1,2,0.1,2,"[1301, 35]",396,1899,229,0,1137,59.87361769352291,0:00:22.684580
1,2,0.1,2,"[1177, 1025]",398,1899,230,0,1139,59.97893628225381,0:00:22.684580
1,2,0.1,2,"[1705, 1682]",400,1899,231,0,1141,60.08425487098473,0:00:22.684580
1,2,0.1,2,"[1606, 1885]",402,1899,232,0,1143,60.18957345971564,0:00:22.684580
1,2,0.1,2,"[210, 1558]",404,1899,233,0,1145,60.29489204844655,0:00:22.684580
1,2,0.1,2,"[1570, 1879]",406,1899,234,0,1147,60.400210637177466,0:00:22.684580
1,2,0.1,2,"[298, 134]",408,1899,235,0,1149,60.505529225908376,0:00:22.684580
1,2,0.1,2,"[1780, 889]",410,1899,236,0,1151,60.61084781463928,0:00:22.684580
1,2,0.1,2,"[1819, 82]",412,1899,237,0,1153,60.716166403370195,0:00:22.684580
1,2,0.1,2,"[1735, 1849]",414,1899,238,0,1155,60.821484992101105,0:00:22.684580
1,2,0.1,2,"[1698, 227]",416,1899,239,0,1157,60.926803580832015,0:00:22.684580
1,2,0.1,2,"[1193, 1477]",418,1899,240,0,1159,61.03212216956293,0:00:22.684580
1,2,0.1,2,"[965, 271]",420,1899,241,0,1161,61.137440758293835,0:00:22.684580
1,2,0.1,2,"[137, 1864]",422,1899,242,2,1164,61.29541864139021,0:00:22.684580
1,2,0.1,2,"[137, 1864]",422,1899,243,0,1164,61.29541864139021,0:00:22.684580
1,2,0.1,2,"[1215, 1595]",424,1899,244,0,1166,61.400737230121116,0:00:22.684580
1,2,0.1,2,"[295, 1700]",426,1899,245,0,1168,61.506055818852026,0:00:22.684580
1,2,0.1,2,"[1387, 1107]",428,1899,246,0,1170,61.61137440758294,0:00:22.684580
1,2,0.1,2,"[151, 432]",430,1899,247,0,1172,61.716692996313846,0:00:22.684580
1,2,0.1,2,"[1696, 146]",432,1899,248,0,1174,61.822011585044756,0:00:22.684580
1,2,0.1,2,"[248, 512]",434,1899,249,0,1176,61.92733017377567,0:00:22.684580
1,2,0.1,2,"[1263, 333]",436,1899,250,0,1178,62.03264876250658,0:00:22.684580
1,2,0.1,2,"[320, 367]",438,1899,251,2,1181,62.190626645602954,0:00:22.684580
1,2,0.1,2,"[320, 367]",438,1899,252,0,1181,62.190626645602954,0:00:22.684580
1,2,0.1,2,"[1222, 930]",440,1899,253,0,1183,62.29594523433386,0:00:22.684580
1,2,0.1,2,"[1197, 1465]",442,1899,254,0,1185,62.40126382306477,0:00:22.684580
1,2,0.1,2,"[476, 1862]",444,1899,255,0,1187,62.506582411795684,0:00:22.684580
1,2,0.1,2,"[1731, 1388]",446,1899,256,0,1189,62.61190100052659,0:00:22.684580
1,2,0.1,2,"[133, 1643]",448,1899,257,0,1191,62.7172195892575,0:00:22.684580
1,2,0.1,2,"[1462, 893]",450,1899,258,0,1193,62.82253817798842,0:00:22.684580
1,2,0.1,2,"[664, 1391]",452,1899,259,0,1195,62.92785676671932,0:00:22.684580
1,2,0.1,2,"[1850, 1256]",454,1899,260,0,1197,63.03317535545023,0:00:22.684580
1,2,0.1,2,"[1483, 39]",456,1899,261,0,1199,63.13849394418115,0:00:22.684580
1,2,0.1,2,"[945, 1345]",458,1899,262,0,1201,63.24381253291206,0:00:22.684580
